Date,AAPL,ADBE,AMZN,FB,GOOG,ORCL
2018-01-02,43.065,177.7,1189.01,181.42,1065.0,46.63
2018-01-03,43.0575,181.04,1204.2,184.67,1082.48,47.71
2018-01-04,43.2575,183.22,1209.59,184.33,1086.4,48.18
2018-01-05,43.75,185.34,1229.14,186.85,1102.23,48.47
2018-01-06,43.6958,185.24,1235.05,187.3267,1103.8,48.64
2018-01-07,43.6417,185.14,1240.96,187.8033,1105.37,48.81
2018-01-08,43.5875,185.04,1246.87,188.28,1106.9399,48.98
2018-01-09,43.5825,186.7,1252.7,187.87,1106.26,49.06
2018-01-10,43.5725,187.11,1254.33,187.84,1102.61,48.8
2018-01-11,43.82,188.92,1276.6801,187.77,1105.52,48.95
2018-01-12,44.2725,195.05,1305.2,179.37,1122.26,49.51
2018-01-13,44.2162,194.4025,1305.115,179.125,1122.135,49.53
2018-01-14,44.16,193.755,1305.03,178.88,1122.01,49.55
2018-01-15,44.1038,193.1075,1304.945,178.635,1121.885,49.57
2018-01-16,44.0475,192.46,1304.86,178.39,1121.76,49.59
2018-01-17,44.775,196.49,1295.0,177.6,1131.98,50.27
2018-01-18,44.815,196.2,1293.3199,179.8,1129.79,50.23
2018-01-19,44.615,195.73,1294.58,181.29,1137.51,50.58
2018-01-20,44.4933,196.4333,1305.49,182.65,1143.61,50.6233
2018-01-21,44.3717,197.1367,1316.4,184.01,1149.71,50.6667
2018-01-22,44.25,197.84,1327.3101,185.37,1155.8101,50.71
2018-01-23,44.26,200.09,1362.54,189.35,1169.97,51.12
2018-01-24,43.555,197.78,1357.51,186.55,1164.24,51.45
2018-01-25,42.7775,197.51,1377.95,187.48,1170.37,51.6
2018-01-26,42.8775,201.3,1402.05,190.0,1175.84,52.75
2018-01-27,42.5817,200.2767,1407.2601,188.66,1175.7533,52.48
2018-01-28,42.2858,199.2533,1412.4701,187.32,1175.6666,52.21
2018-01-29,41.99,198.23,1417.6801,185.98,1175.58,51.94
2018-01-30,41.7425,196.9,1437.8199,187.12,1163.6899,50.96
2018-01-31,41.8575,199.76,1450.89,186.89,1169.9399,51.59
2018-02-01,41.945,199.38,1390.0,193.09,1167.7,51.63
2018-02-02,40.125,195.64,1429.95,190.28,1111.9,50.13
2018-02-03,39.7908,193.85,1416.6333,187.2733,1093.2,49.45
2018-02-04,39.4567,192.06,1403.3167,184.2667,1074.5,48.77
2018-02-05,39.1225,190.27,1390.0,181.26,1055.8,48.09
2018-02-06,40.7575,194.47,1442.84,185.31,1080.6,49.4
2018-02-07,39.885,192.34,1416.78,180.18,1048.58,48.87
2018-02-08,38.7875,185.16,1350.5,171.58,1001.52,46.84
2018-02-09,39.1025,187.99,1339.6,176.11,1037.78,47.73
2018-02-10,39.6275,189.3767,1355.1433,176.21,1042.5,47.87
2018-02-11,40.1525,190.7633,1370.6866,176.31,1047.22,48.01
2018-02-12,40.6775,192.15,1386.23,176.41,1051.9399,48.15
2018-02-13,41.085,193.48,1414.51,173.15,1052.1,48.49
2018-02-14,41.8425,197.13,1451.05,179.52,1069.7,49.45
2018-02-15,43.2475,202.97,1461.76,179.96,1089.52,50.64
2018-02-16,43.1075,201.56,1448.6899,177.36,1094.8,50.71
2018-02-17,43.0712,201.915,1453.6049,177.0225,1096.715,50.505
2018-02-18,43.035,202.27,1458.52,176.685,1098.63,50.3
2018-02-19,42.9988,202.625,1463.435,176.3475,1100.545,50.095
2018-02-20,42.9625,202.98,1468.35,176.01,1102.46,49.89
2018-02-21,42.7675,202.09,1482.92,177.91,1111.34,49.43
2018-02-22,43.125,202.61,1485.34,178.99,1106.63,49.59
2018-02-23,43.875,209.74,1500.0,183.29,1126.79,50.5
2018-02-24,44.1642,210.5433,1507.3167,183.8367,1132.4434,50.7233
2018-02-25,44.4533,211.3467,1514.6333,184.3833,1138.0967,50.9467
2018-02-26,44.7425,212.15,1521.95,184.93,1143.75,51.17
2018-02-27,44.5975,208.82,1511.98,181.46,1118.29,50.73
2018-02-28,44.53,209.13,1512.45,178.32,1104.73,50.67
2018-03-01,43.75,206.03,1493.45,175.94,1069.52,49.71
2018-03-02,44.0525,209.79,1500.25,176.62,1078.92,50.32
2018-03-03,44.1033,210.2467,1508.0367,177.88,1082.9234,50.6433
2018-03-04,44.1542,210.7033,1515.8233,179.14,1086.9267,50.9667
2018-03-05,44.205,211.16,1523.61,180.4,1090.9301,51.29
2018-03-06,44.1675,212.01,1537.64,179.78,1095.0601,51.5
2018-03-07,43.7575,216.86,1545.0,183.71,1109.64,51.72
2018-03-08,44.235,216.4,1551.86,182.34,1126.0,52.13
2018-03-09,44.995,221.11,1578.89,185.23,1160.04,52.97
2018-03-10,45.14,221.0533,1585.39,185.0733,1161.5267,52.9467
2018-03-11,45.285,220.9967,1591.89,184.9167,1163.0133,52.9233
2018-03-12,45.43,220.94,1598.39,184.76,1164.5,52.9
2018-03-13,44.9925,219.76,1588.1801,181.88,1138.17,52.58
2018-03-14,44.61,218.44,1591.0,184.19,1149.49,52.32
2018-03-15,44.6625,218.87,1582.3199,183.86,1149.58,52.37
2018-03-16,44.505,225.55,1571.6801,185.09,1135.73,52.27
2018-03-17,44.2783,224.4267,1562.7634,180.9133,1123.76,52.1633
2018-03-18,44.0517,223.3033,1553.8467,176.7367,1111.79,52.0567
2018-03-19,43.825,222.18,1544.9301,172.56,1099.8199,51.95
2018-03-20,43.81,229.75,1586.51,168.15,1097.71,47.05
2018-03-21,42.8175,226.85,1581.86,169.39,1090.88,47.02
2018-03-22,42.2125,220.52,1544.92,164.89,1049.08,45.89
2018-03-23,41.235,215.02,1495.5601,159.39,1021.57,44.79
2018-03-24,41.8875,219.65,1515.66,159.6133,1032.1167,45.3533
2018-03-25,42.54,224.28,1535.76,159.8367,1042.6633,45.9167
2018-03-26,43.1925,228.91,1555.86,160.06,1053.21,46.48
2018-03-27,42.085,213.8,1497.05,152.22,1005.1,45.38
2018-03-28,41.62,212.54,1431.42,153.03,1004.56,44.98
2018-03-29,41.945,216.08,1447.34,159.79,1031.79,45.75
2018-03-30,41.8762,215.13,1428.5025,158.69,1025.46,45.565
2018-03-31,41.8075,214.18,1409.665,157.59,1019.13,45.38
2018-04-01,41.7387,213.23,1390.8275,156.49,1012.8,45.195
2018-04-02,41.67,212.28,1371.99,155.39,1006.47,45.01
2018-04-03,42.0975,215.93,1392.05,156.11,1013.41,44.89
2018-04-04,42.9025,225.05,1410.5699,155.1,1025.14,45.51
2018-04-05,43.2,223.54,1451.75,159.34,1027.8101,45.96
2018-04-06,42.095,218.61,1405.23,157.2,1007.04,44.83
2018-04-07,42.2342,218.7967,1405.5133,157.4433,1009.8433,44.8533
2018-04-08,42.3733,218.9833,1405.7966,157.6867,1012.6467,44.8767
2018-04-09,42.5125,219.17,1406.08,157.93,1015.45,44.9
2018-04-10,43.3125,224.53,1436.22,165.04,1031.64,45.82
2018-04-11,43.11,223.63,1427.05,166.32,1019.97,45.61
2018-04-12,43.535,226.96,1448.5,163.87,1032.51,45.88
2018-04-13,43.6825,224.06,1430.79,164.52,1029.27,46.08
2018-04-14,43.7733,224.88,1434.36,164.6233,1032.1733,46.07
2018-04-15,43.8642,225.7,1437.93,164.7267,1035.0767,46.06
2018-04-16,43.955,226.52,1441.5,164.83,1037.98,46.05
2018-04-17,44.56,231.16,1503.83,168.66,1074.16,46.66
2018-04-18,44.46,231.1,1527.84,166.36,1072.08,47.08
2018-04-19,43.2,227.62,1556.91,168.1,1087.7,46.82
2018-04-20,41.43,225.24,1527.49,166.28,1072.96,46.23
2018-04-21,41.39,225.26,1524.28,166.1333,1071.1233,46.0867
2018-04-22,41.35,225.28,1521.07,165.9867,1069.2866,45.9433
2018-04-23,41.31,225.3,1517.86,165.84,1067.45,45.8
2018-04-24,40.735,217.89,1460.09,159.69,1019.98,45.53
2018-04-25,40.9125,217.32,1460.17,159.69,1021.18,45.75
2018-04-26,41.055,221.91,1517.96,174.16,1040.04,45.96
2018-04-27,40.58,221.9,1572.62,173.59,1030.05,45.53
2018-04-28,40.825,221.8,1570.4567,173.06,1025.81,45.5767
2018-04-29,41.07,221.7,1568.2933,172.53,1021.57,45.6233
2018-04-30,41.315,221.6,1566.13,172.0,1017.33,45.67
2018-05-01,42.275,224.08,1582.26,173.86,1037.3101,45.95
2018-05-02,44.1425,221.1,1569.6801,176.07,1024.38,45.51
2018-05-03,44.2225,226.05,1572.08,174.02,1023.72,45.06
2018-05-04,45.9575,228.51,1580.95,176.61,1048.21,45.71
2018-05-05,46.0683,229.3367,1587.3466,177.0633,1050.4033,45.83
2018-05-06,46.1792,230.1633,1593.7433,177.5167,1052.5967,45.95
2018-05-07,46.29,230.99,1600.14,177.97,1054.79,46.07
2018-05-08,46.5125,234.56,1592.39,178.92,1053.91,45.94
